NUMERO_CASO;NUMERO_BANCO;NOME_BANCO;CNPJ_OU_COMPE_BANCO;NUMERO_AGENCIA;NUMERO_CONTA;TIPO;NOME_TITULAR;CPF_CNPJ_TITULAR;DESCRICAO_LANCAMENTO;CNAB;DATA_LANCAMENTO;NUMERO_DOCUMENTO;NUMERO_DOCUMENTO_TRANSACAO;LOCAL_TRANSACAO;VALOR_TRANSACAO;NATUREZA_LANCAMENTO;VALOR_SALDO;NATUREZA_SALDO;CPF_CNPJ_OD;NOME_PESSOA_OD;TIPO_PESSOA_OD;NUMERO_BANCO_OD;NUMERO_AGENCIA_OD;NUMERO_CONTA_OD;CODIGO_BARRAS;OBSERVACAO;NOME_ENDOSSANTE_CHEQUE;DOC_ENDOSSANTE_CHEQUE
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Transfer?ncia de Cr¿dito";213;15/06/2012;"""8283""";"""8283""";0;1751;C;1751;C;01.415.238/1110-58;"TRANSPORTES PA";2;1;4546;"""84830""";;;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;Saque;114;15/06/2012;"""73027""";"""73027""";0;800;D;951;C;;;;1;0;;;SAQUE;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Transfer?ncia Para Conta";117;18/06/2012;"""9143""";"""9143""";0;620;D;331;C;394.044.190-28;"AILSON BARBOSA";1;1;4546;"""95230""";;;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;Saque;114;18/06/2012;"""73921""";"""73921""";0;200;D;131;C;;;;1;0;;;SAQUE;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Deposito Em Dinheiro";201;20/06/2012;"""15409""";"""15409""";0;320;C;451;C;;;;1;0;;;DEP.DINHEIRO;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Transfer?ncia Para Conta";117;20/06/2012;"""9143""";"""9143""";0;50;D;401;C;394.044.190-28;"AILSON BARBOSA";1;1;4546;"""95230""";;;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Transfer?ncia Para Conta";117;20/06/2012;"""9143""";"""9143""";0;320;D;81;C;394.044.190-28;"AILSON BARBOSA";1;1;4546;"""95230""";;;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;Saque;114;22/06/2012;"""73921""";"""73921""";0;20;D;61;C;;;;1;0;;;SAQUE;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;Saque;114;26/06/2012;"""73808""";"""73808""";0;10;D;51;C;;;;1;0;;;SAQUE;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;Saque;114;28/06/2012;"""73921""";"""73921""";0;40;D;11;C;;;;1;0;;;SAQUE;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Tarifa Saqueterminal";105;28/06/2012;"""4546""";"""4546""";0;1,7;D;9,3;C;;"RECEITA DE TAR";2;1;4546;"""1579992059""";;"TARIFAS POR UTILIZACAO";;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Tarifa Saqueterminal";105;28/06/2012;"""4546""";"""4546""";0;1,7;D;7,6;C;;"RECEITA DE TAR";2;1;4546;"""1579992059""";;"TARIFAS POR UTILIZACAO";;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Deposito Em Dinheiro";201;05/07/2012;"""15409""";"""15409""";0;560;C;567,6;C;;;;1;0;;;DEP.DINHEIRO;;
009-MPRS-000451-59;1;"TESTE - BANCO DO BRASIL S.A.";00.000.001/xxxx-xx;4546;"""1500019648""";2;"BETO BARBOSA";552.296.460-04;"Transfer?ncia Para Conta";117;06/07/2012;"""510008425""";"""510008425""";0;100;D;467,6;C;281.479.310-18;"ZITA AMELI";1;1;4546;"""1500082418""";;;;
