Indexador;cpfCnpjEnvolvido;nomeEnvolvido;tipoEnvolvido;Nº RIF
1;552.296.460-04;BETO BARBOSA;Titular;999888
1;11.333.777/0008-60;ORG SOC PARA A EDUCAÇÃO LIVRE;Sócio;999888
2;022.532.060-67;DEISE MARAISA FREITAS DA SILVA;Titular;999888
2;078.453.480-23;ELMO DE FARIA;Titular;999888
2;08.354.139/1110-52;COMERCIAL COMP;Titular;999888
2;08.495.920/1110-47;C EXP MINEIRA;Titular;999888
3;281.479.310-18;ZITA AMELI;Outros;999888
3;490.637.660-68;CESIO LAZARO;Titular;999888
3;05.664.305/1110-29;HUMBERTO RODRI;Beneficiário;999888
3;06.083.178/1110-37;BRASILCAP CAPI;Beneficiário;999888
3;06.581.827/1110-20;FENIX C M CONS;Beneficiário;999888
3;490.637.660-68;CESIO LAZARO;Remetente;999888
3;00.072.268/1110-46;B F SA CRED FI;Remetente;999888
3;00.355.501/1110-06;COLEGIO FLOREN;Remetente;999888
3;00.505.292/1110-21;SANEAMENTO DE;Titular;999888
3;00.734.501/1110-09;P CAMPOS BELOS;Beneficiário;999888
3;000.921.460-74;RUTE DALVA SAN;Beneficiário;999888
3;003.022.860-39;ROSIMAR CARDOS;Beneficiário;999888
3;003.227.940-05;ERISVALDO SANT;Beneficiário;999888
3;007.566.810-65;EDIVALDO BARBO;Beneficiário;999888
3;008.319.980-24;PATRICIA GARCE;Beneficiário;999888
4;291.113.780-93;LUIZ PEREIRA B;Vendedor;999888
4;975.025.170-90;JOSE GARCIA DE;Titular;999888
5;490.637.660-68;CESIO LAZARO;Titular;999888
5;003.227.940-05;ERISVALDO SANT;Vendedor;999888
5;007.566.810-65;EDIVALDO BARBO;Vendedor;999888
6;008.395.650-62;TIAGO ALVES PE;Titular;999888
6;009.287.070-83;GENIVALDO OLIV;Vendedor;999888
6;01.304.088/1110-05;MERCADO POPULA;Vendedor;999888
7;061.723.795-69;NIVALDO MANOEL;Titular;999888
7;07.583.498/1110-19;POSTO VALE DA;Beneficiário;999888
8;490.637.660-68;CESIO LAZARO;Titular;999888
8;000.921.460-74;RUTE DALVA SAN;Procurador / Representante Legal;999888
8;008.319.980-24;PATRICIA GARCE;Beneficiário;999888
8;008.395.650-62;TIAGO ALVES PE;Remetente;999888
